,Comparison,Correlation_Gbm,P_value_Gbm,Correlation_kidney,P_value_kidney,Correlation_Ovar,P_value_Ovar,Correlation_Brca,P_value_Brca,Correlation_Luad,P_value_Luad,Correlation_hnscc,P_value_hnscc,Correlation_Lscc,P_value_Lscc
0,EGFR_proteomics,0.9999999999999998,0.0,1.0,0.0,0.9999999999999998,0.0,0.9999999999999999,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,PHLDA1_proteomics,0.8168478152481624,3.507070947053107e-21,,,,,0.3647974044559096,0.0021644125317415676,,,0.6642710702729873,8.88864017123259e-12,0.7134204152693155,2.6448256049797982e-14
2,GRB2_proteomics,-0.6108891162098071,6.729989703156223e-08,,,,,,,-0.3024385657756904,0.020630959253629032,-0.532341215310538,3.320091791570536e-06,,
3,CDH4_proteomics,0.5591797537196763,3.420388042238714e-06,,,,,,,,,,,,
4,PLA2G15_proteomics,-0.5566242323733048,3.420388042238714e-06,-0.2980294498940282,0.02216022441747543,,,0.27418494735264415,0.01606104041207197,,,,,,
5,SOCS2_proteomics,0.5627196030682289,3.420388042238714e-06,,,,,,,,,,,0.4726244444703358,0.014179206059692808
6,DAB2_proteomics,-0.5564015379913563,3.420388042238714e-06,,,,,0.3260553475239116,0.0035427597450799616,,,,,,
7,GLA_proteomics,-0.5504906315237544,4.776520693499352e-06,-0.2983475619308701,0.021947886338728895,,,,,,,,,,
8,CTSC_proteomics,-0.5462852751917662,5.888722194439894e-06,-0.30231627569503383,0.02002027315247325,,,0.26693956593905577,0.019640854424324457,0.30276041161402084,0.02047158191399159,,,,
9,ARNT2_proteomics,0.5420787847456093,6.098708001404987e-06,,,,,,,,,,,,
10,CKB_proteomics,0.5442462597158703,6.098708001404987e-06,,,,,,,,,,,,
11,DCBLD2_proteomics,-0.5653725668293248,6.098708001404987e-06,,,,,,,,,,,,
12,SHC1_proteomics,-0.5405244914396086,6.33544978633218e-06,,,,,,,,,,,,
13,SCPEP1_proteomics,-0.531494133013942,1.1549671731081287e-05,-0.386583468079414,0.0017324009693339088,,,0.39918696469772447,0.00023711742314733243,,,,,,
14,ROBO2_proteomics,0.5271277906035979,1.4832531916800771e-05,,,,,,,,,,,,
15,PHLDA3_proteomics,0.5258827854613878,1.5217788650345985e-05,0.4325299757098131,0.0004760664597236992,,,,,,,0.7637844857470779,1.5711064616377101e-18,0.6820335902295296,1.705262359242771e-12
16,BLOC1S2_proteomics,-0.5229648266822912,1.7273842006123295e-05,,,,,,,,,,,,
17,ATP7A_proteomics,-0.5224817306372646,1.7273842006123295e-05,,,,,,,,,,,,
18,MEOX2_proteomics,0.5458632466939957,1.77961706536009e-05,,,,,,,,,,,,
19,CD180_proteomics,-0.5182666129723484,2.0971648016688764e-05,,,,,,,,,,,,
20,FAM129B_proteomics,-0.5149840251387472,2.4851829589332074e-05,,,,,0.34409341711677,0.0019579324752175354,,,,,0.3600921107353627,0.007874168753663877
21,TOR4A_proteomics,-0.5138471291537452,2.4851829589332074e-05,,,,,,,,,,,,
22,SEC23IP_proteomics,-0.5144035788843105,2.4851829589332074e-05,,,,,-0.2573069982684186,0.024953114666037394,-0.26661208835537786,0.044871400595113825,,,,
