Umich_Proteomics	GBM_P_Value	GBM_Median	HNSCC_P_Value	HNSCC_Median	LUAD_P_Value	LUAD_Median	LSCC_P_Value	LSCC_Median	BR_P_Value	BR_Median	EC_P_Value	EC_Median	OV_P_Value	OV_Median	CO_P_Value	CO_Median
CUL2	4.572167349982706e-07	-0.4584271263405171	0.492948293702684	-0.0124826691301205	0.7540367476219655	-0.0411172295573578	0.061876439236318	-0.1617774152630495	0.9995177788980228	0.0197442601962016	0.9688838928885544	0.0069913788038959	0.9933878205304212	0.0427318712191571	0.9471549612192488	0.0767861175932118
DOCK1_1	4.572167349982706e-07	-0.3583614258336531	0.9419402002156664	-0.0505135933978877	0.8235128034730637	-0.0611538980399064	0.637861415458716	-0.0331882887659489		0.2239713044068594	0.8584792155900494	0.1064459431633224		-0.1123462914102422		
ATE1_1	2.291618642579748e-06	-0.4819415920308749	0.1120814320281882	-0.118993999598933	0.0111565696323144	-0.315236151590728	0.0009588646555036	-0.2099741358877072	0.9995177788980228	-0.0944218407377297	0.8595069967552453	0.0288721716064586				
GDI2	2.291618642579748e-06	-0.4867539171560331	0.9616691944471308	-0.1019083029270966	0.8387205965665218	-0.0060901644746724	0.3025306266646924	-0.181924579584539	0.9995177788980228	-0.0419541296767986	0.6930080277862315	0.0525706369567124	0.9949511816027132	-0.1091098556161647	0.8832398835312537	-0.0215535914140261
CUTC	2.291618642579748e-06	-0.4909920110319632	0.0434786890424007	-0.3848104089477964	0.4098693816307575	-0.280223909454067	0.0085479544944928	-0.2314172983827731	0.9995177788980228	0.0677011178370561	0.7880345573304204	0.0203818158360267	0.9933878205304212	-0.1865342186693777	0.1905164049968601	-0.1702259167916384
PIP4K2A	2.291618642579748e-06	-0.4949853532130639	0.2569642565631798	-0.2629815871186611	0.9526654154398304	0.0297894114483909	0.0232214498200464	-0.2276479884405979	0.9995177788980228	-0.1291190113546383	0.2707187663814901	0.1720459628497934	0.9933878205304212	0.0325623190896422	0.7214947568795808	0.0051039626088638
ARMH3	2.291618642579748e-06	-0.3674905388321967	0.0288512122634789	-0.1930228726565417	0.2462030667637483	-0.1473825204577092	0.0022241296157788	-0.2156521634483912	0.9995177788980228	-0.0479049200544601	0.0884041021086496	0.1907062295046966	0.9065405441296792	-0.1248322644593198	0.4637724059349671	-0.0794664516241283
HERC4	3.341044588048425e-06	-0.3422769732680102	0.4473259844188353	-0.2662412517864698	0.3547731709103112	-0.0445951035080067	0.007572368702851	-0.186714106717849	0.9995177788980228	-0.0959165662374585	0.3101582509336956	0.0994762064834908	0.9933878205304212	-0.070341238566451	0.8940783863580807	-0.0650471740424301
ACTR1A	3.341044588048425e-06	-0.3991725486386599	0.3615592529460572	-0.1441819933767067	0.083062235245036	-0.1592756148449297	0.0039771783137337	-0.2269303634673836	0.9995177788980228	0.0545457957627029	0.1472828849582756	0.2132256469366158	0.9933878205304212	-0.0565139946911124	0.421259295591349	-0.1600877219757919
ABRAXAS2	3.5957771232913786e-06	-0.2689638309260012	0.2234223910335406	-0.1446788539932058	0.083062235245036	-0.1256492193030709	5.081469122139942e-05	-0.1955226728081154	0.9995177788980228	-0.0955982589391268	0.6886246806843063	0.0632082568713965	0.9933878205304212	-0.1720799188622361	0.3461108051157409	-0.1091254809996584
ANXA7	4.763505507845893e-06	-0.4722050823821284	0.93664842450452	-0.1258728895226557	0.483986550398006	-0.0557205703181171	0.0070404005017419	-0.18917669784161	0.9995177788980228	-0.1991006915598898	0.4164188528741713	0.1385560651369228	0.9933878205304212	0.004240995061771	0.421259295591349	-0.2132624372637579
DCTN1	6.306915435026426e-06	-0.2737661763168084	0.0379329514610398	-0.1599129554147857		0.4152454232123901	0.0741739829871559	-0.0573555384237423		0.0517304136209748	0.1897130323907214	0.1371973304395606	0.9933878205304212	-0.127457729418527	0.4270017322326142	-0.101229527553702
INPP5F	3.670771346552625e-05	-0.607746038636094	0.0348816673306774	-0.2848393021334772	0.3710241700736632	-0.1212475262279468	0.0429135046079182	-0.1498348225686712	0.9995177788980228	-0.3176002371652622	0.2652199286430793	0.0801839963211978	0.9982612320008898	0.0121772179353598		-0.4015651638358566
NHLRC2	3.690286271405677e-05	-0.3367799769003774	0.2234223910335406	-0.1275463168909532	0.1229013078681993	-0.1801230667403572	0.0958709472190374	-0.1147984261113777	0.9995177788980228	-0.0972466528936557	0.2973098325459941	0.0929732790991035	0.9933878205304212	-0.1404910764995524	0.015808495373112	-0.2571856036915818
