,Comparison,Correlation,P_value
703,EGFR_proteomics,0.9999999999999999,0.0
1419,MPP6_proteomics,0.6482016750801229,4.834438414996777e-15
538,CPNE8_proteomics,0.616452652877966,2.2292629095873168e-13
553,CRYBG3_proteomics,0.6099970715071926,4.612176438723387e-13
1858,PSAT1_proteomics,0.6093187041227728,4.973595244978248e-13
1709,PHC3_proteomics,-0.6032043673296034,9.738760535376897e-13
906,GATA3_proteomics,-0.5989112714956837,1.5478464694256326e-12
1212,KRT16_proteomics,0.5953254717268092,2.267368508490368e-12
1217,KRT5_proteomics,0.5947703956956036,2.4043842952646757e-12
1605,NXN_proteomics,0.5928643081653011,2.9385727077300687e-12
120,ANGPTL4_proteomics,0.5927303341631387,2.9801580865769115e-12
1452,MSI2_proteomics,-0.5927073291304642,2.9873558506601664e-12
2602,WWTR1_proteomics,0.5904236890563149,3.792047745957696e-12
1279,LPIN1_proteomics,0.5853048327707228,6.429025037315383e-12
1732,PLA2G4A_proteomics,0.5821618873400262,8.850043244400969e-12
873,FMNL2_proteomics,0.5798977074970961,1.1117892337405575e-11
223,ATP1B3_proteomics,0.5791346978189895,1.2001612503431938e-11
705,EHBP1_proteomics,0.578128173337492,1.3271710923324408e-11
2329,TBC1D9_proteomics,-0.5765724918711845,1.5493800901363032e-11
1526,NDUFA4L2_proteomics,0.6098649748436494,2.6391190237714396e-11
1274,LMX1B_proteomics,-0.5700717567371781,2.9329942308461165e-11
2196,SLC9A3R1_proteomics,-0.5698606251584877,2.993721603128771e-11
1646,PARD6B_proteomics,-0.567350488543637,3.815436261159485e-11
333,CA12_proteomics,-0.5654257640250651,4.588954162558463e-11
1524,NDRG1_proteomics,0.5635350183366943,5.494995624499721e-11
2441,TRIP10_proteomics,0.5627884324370849,5.898357339291424e-11
623,DENND2D_proteomics,-0.5624979330807623,6.062903778798008e-11
1401,MMP14_proteomics,0.5611608759369696,6.879092766499291e-11
166,ARHGAP10_proteomics,0.5605272344738426,7.301970002203246e-11
1403,MMP24_proteomics,0.5594043658286081,8.113699162208727e-11
1758,PLOD1_proteomics,0.559319003315738,8.178847403328096e-11
1695,PFKP_proteomics,0.5576454572411504,9.56282529768725e-11
317,C3orf58_proteomics,0.5757376747378147,1.072509707654087e-10
1388,MKL2_proteomics,-0.5560954802302165,1.1044133891130862e-10
818,FAT1_proteomics,0.5520735268804902,1.5993268289104324e-10
884,FOXA1_proteomics,-0.5512934214292077,1.7174353739367383e-10
435,CDK6_proteomics,0.5505854145057493,1.8318707686012932e-10
1140,JADE2_proteomics,-0.5498101489030285,1.965601817326199e-10
807,FAM49A_proteomics,0.5424790152543927,3.793445903602549e-10
1496,NAMPT_proteomics,0.5424696350033302,3.796600090509416e-10
1159,KDELC1_proteomics,0.5403531169426077,4.576744229657296e-10
497,CMBL_proteomics,-0.5382975141734666,5.480819880033156e-10
674,DSC2_proteomics,0.5372170409572861,6.022617910674836e-10
759,ESR1_proteomics,-0.5358493786720276,6.782657491107294e-10
2433,TRIM16_proteomics,0.5357323977714346,6.85178868587559e-10
2290,SUN1_proteomics,0.5345705715261186,7.576226420501041e-10
347,CALU_proteomics,0.5339506757285655,7.992347256304678e-10
675,DSC3_proteomics,0.5335853213297187,8.247809036258182e-10
1091,IGF2BP2_proteomics,0.5318454295739992,9.576076694939554e-10
2563,VLDLR_proteomics,0.5682466599006053,1.0410938986118182e-09
1486,MYO1E_proteomics,0.5303115940393515,1.0915719613312294e-09
524,COLGALT1_proteomics,0.5290024876770371,1.2200047021712356e-09
221,ATP11C_proteomics,0.528717239982597,1.2498576295847144e-09
359,CARD6_proteomics,0.544855414491719,1.3011981028388858e-09
2377,TLE3_proteomics,-0.5270653697701574,1.4370418102625891e-09
2065,RUNDC1_proteomics,-0.5427728702595263,1.5461140063880212e-09
690,DYSF_proteomics,0.5258927641310345,1.5859756223442953e-09
1828,PREX1_proteomics,-0.525054101359793,1.7014810926158726e-09
841,FERMT1_proteomics,0.5392303793124618,2.067658010618045e-09
1953,RBM47_proteomics,-0.5221929596125053,2.159538574628549e-09
1369,METTL26_proteomics,-0.5219021010686389,2.2122405534792656e-09
2182,SLC2A1_proteomics,0.5196022216464615,2.674762761881831e-09
961,GPT2_proteomics,0.5192392685306445,2.755760649148275e-09
552,CRYAB_proteomics,0.5186035463896904,2.9033409508721572e-09
31,ACSL4_proteomics,0.5176031734206615,3.151056552685242e-09
1914,RAB9A_proteomics,0.5176018804348612,3.151389489899662e-09
394,CCDC88A_proteomics,0.516840101118471,3.3535308584171363e-09
1400,MMP12_proteomics,0.5164467401362913,3.4627285118772875e-09
1915,RABEP1_proteomics,-0.515995516368128,3.5921945798971685e-09
1483,MYO10_proteomics,0.5158009122647153,3.649454105638958e-09
2280,STRBP_proteomics,-0.5148746843204373,3.9342109521733824e-09
2133,SERPINH1_proteomics,0.5142536168293892,4.136970291263945e-09
2161,SIGIRR_proteomics,-0.5136072448700153,4.358629580973901e-09
768,EXOC6_proteomics,-0.5093363841981216,6.1368085346207495e-09
1595,NUDT12_proteomics,-0.5091051248182532,6.250724699438469e-09
756,ERO1A_proteomics,0.5090758594376754,6.265284353170184e-09
416,CD58_proteomics,0.5267782596348842,6.612633145112346e-09
242,BAG2_proteomics,0.507777951741559,6.944750591701524e-09
1022,HID1_proteomics,-0.5068383468344935,7.480175659757525e-09
2151,SH3PXD2B_proteomics,0.5067301339639187,7.544323691870133e-09
1596,NUDT16L1_proteomics,-0.5047033515916206,8.847922990017437e-09
491,CLIC3_proteomics,0.5046071600059894,8.91487750314117e-09
1549,NHSL1_proteomics,0.5045530600606747,8.952747168955848e-09
861,FKBP14_proteomics,0.5032624547163831,9.903276574561931e-09
26,ACOT9_proteomics,0.5028474786427981,1.02289458074368e-08
1328,MAP4K4_proteomics,0.50275204937182,1.0305276923107898e-08
2127,SERPINB5_proteomics,0.5024008696922698,1.0590905396872931e-08
