,Comparison,Correlation,P_value,fdr_bh_p_val,Cancer Type
0,EGFR_proteomics,0.9999999999999998,0.0,0.0,GBM
1,PHLDA1_proteomics,0.8168478152481624,6.553435386439516e-25,3.507070947053107e-21,GBM
2,GRB2_proteomics,-0.6108891162098071,1.886384108144321e-11,6.729989703156222e-08,GBM
3,SOCS2_proteomics,0.5627196030682289,1.3434640782638405e-09,3.4203880422387137e-06,GBM
4,CDH4_proteomics,0.5591797537196763,1.7900481215202167e-09,3.4203880422387137e-06,GBM
5,PLA2G15_proteomics,-0.5566242323733048,2.1975620249173136e-09,3.4203880422387137e-06,GBM
6,DAB2_proteomics,-0.5564015379913563,2.2370098379586097e-09,3.4203880422387137e-06,GBM
7,GLA_proteomics,-0.5504906315237544,3.5702294261417187e-09,4.776520693499352e-06,GBM
8,CTSC_proteomics,-0.5462852751917662,4.951742478740451e-09,5.888722194439894e-06,GBM
9,CKB_proteomics,0.5442462597158703,5.793441254542527e-09,6.098708001404987e-06,GBM
10,DCBLD2_proteomics,-0.5653725668293248,6.4080703524936024e-09,6.098708001404987e-06,GBM
11,ARNT2_proteomics,0.5420787847456093,6.837755397258697e-09,6.098708001404987e-06,GBM
12,SHC1_proteomics,-0.5405244914396086,7.695117931637705e-09,6.33544978633218e-06,GBM
13,SCPEP1_proteomics,-0.531494133013942,1.51074842787198e-08,1.1549671731081289e-05,GBM
14,ROBO2_proteomics,0.5271277906035979,2.078744078781758e-08,1.4832531916800771e-05,GBM
15,PHLDA3_proteomics,0.5258827854613878,2.2749193535040245e-08,1.5217788650345984e-05,GBM
16,BLOC1S2_proteomics,-0.5229648266822912,2.8063596415516746e-08,1.7273842006123295e-05,GBM
17,ATP7A_proteomics,-0.5224817306372646,2.9050654593125225e-08,1.7273842006123295e-05,GBM
18,MEOX2_proteomics,0.5458632466939957,3.15918193420926e-08,1.7796170653600897e-05,GBM
19,CD180_proteomics,-0.5182666129723484,3.9188354698101024e-08,2.0971648016688767e-05,GBM
20,FAM129B_proteomics,-0.5149840251387472,4.9338151849772536e-08,2.4851829589332074e-05,GBM
21,SEC23IP_proteomics,-0.5144035788843105,5.137602364276023e-08,2.4851829589332074e-05,GBM
22,TOR4A_proteomics,-0.5138471291537452,5.340484729091261e-08,2.4851829589332074e-05,GBM
23,XRN1_proteomics,-0.5116564308207833,6.215974541674247e-08,2.7720656466474786e-05,GBM
24,PCDH17_proteomics,0.5060447136622968,9.126315836197023e-08,3.907158335792669e-05,GBM
25,WAS_proteomics,-0.5019180366341212,1.2051684359689666e-07,4.9611222192984026e-05,GBM
26,LRP4_proteomics,0.5008960940270109,1.2903455595560912e-07,5.115025379232904e-05,GBM
27,ARHGAP4_proteomics,-0.4989264348229207,1.470944267430579e-07,5.295599032089138e-05,GBM
28,NPC2_proteomics,-0.498790591960705,1.4842485672807221e-07,5.295599032089138e-05,GBM
29,IKBKE_proteomics,-0.5197345389973977,1.5256152296365938e-07,5.295599032089138e-05,GBM
30,GPRIN3_proteomics,-0.4978363548048215,1.5809856909910795e-07,5.295599032089138e-05,GBM
31,PPP1R18_proteomics,-0.4972021285670396,1.648569205371532e-07,5.295599032089138e-05,GBM
32,NEO1_proteomics,0.4969841203020866,1.6724287017663087e-07,5.295599032089138e-05,GBM
33,CTSB_proteomics,-0.4968953119173142,1.682242054480339e-07,5.295599032089138e-05,GBM
34,EPHB3_proteomics,0.4960189368683785,1.7820656121740215e-07,5.3406285479055045e-05,GBM
35,KYNU_proteomics,-0.4955165794395106,1.8418019170073093e-07,5.3406285479055045e-05,GBM
36,LRRC75A_proteomics,0.4954021585844763,1.855671837806378e-07,5.3406285479055045e-05,GBM
37,RGMA_proteomics,0.4950729034600597,1.8961401926600872e-07,5.3406285479055045e-05,GBM
38,CLIP2_proteomics,0.4932799211035536,2.131667000797299e-07,5.8171268858483385e-05,GBM
39,STAB1_proteomics,-0.4929776568817793,2.1740173356435914e-07,5.8171268858483385e-05,GBM
40,ARHGAP45_proteomics,-0.4925637699560174,2.233306774461418e-07,5.830020099283064e-05,GBM
