,Comparison,Correlation,P_value,fdr_bh_p_val,Cancer Type
347,EGFR_proteomics,1.0,0.0,0.0,Luad
451,GGCT_proteomics,0.6090062021637369,1.6766012512088744e-12,8.961433687711434e-09,Luad
583,LANCL2_proteomics,0.5888080582787203,1.3285073202682637e-11,4.733914417889246e-08,Luad
720,NUDCD3_proteomics,0.5683828297279072,9.362812950164468e-11,2.502211760931454e-07,Luad
1061,TAX1BP1_proteomics,0.5615544926721305,1.7464981019631125e-10,3.7340129419971346e-07,Luad
27,ADGRF1_proteomics,0.6068124376801186,7.466411024205248e-10,1.2229379439717046e-06,Luad
478,GRAP_proteomics,-0.5441949411386242,8.0080127294686e-10,1.2229379439717046e-06,Luad
214,CDK13_proteomics,0.541352988659871,1.0191533546377986e-09,1.3618436701347583e-06,Luad
477,GRAMD2B_proteomics,0.5621979613870919,1.7034482852997157e-09,2.0233180188726626e-06,Luad
612,MACC1_proteomics,0.5222575198923531,4.866321777162461e-09,5.202097979786671e-06,Luad
1149,URGCP_proteomics,0.5157807882035345,8.092810336318881e-09,7.864740226840802e-06,Luad
776,PGRMC1_proteomics,0.5123219374034529,1.0572819635840932e-08,9.418620158928297e-06,Luad
992,SNX13_proteomics,0.5095785343045973,1.3042294903275276e-08,1.0724779424308668e-05,Luad
126,BAG6_proteomics,0.5043013171808813,1.9429902349405218e-08,1.4836118293938697e-05,Luad
472,GPC4_proteomics,0.49953487456917617,2.76905167522136e-08,1.9060143005484635e-05,Luad
358,ELOB_proteomics,0.49913074875270175,2.852780992401816e-08,1.9060143005484635e-05,Luad
337,DPY19L1_proteomics,0.4957418062264653,3.656815682554185e-08,2.1216359497558504e-05,Luad
186,CCDC47_proteomics,0.4955948228302136,3.69618417172977e-08,2.1216359497558504e-05,Luad
1140,UBL4A_proteomics,0.49474903000080706,3.930718134950409e-08,2.1216359497558504e-05,Luad
449,GET4_proteomics,0.4946142413076791,3.9693843774665117e-08,2.1216359497558504e-05,Luad
382,ESRP1_proteomics,0.4871642358418356,6.774416358101064e-08,3.448500517528589e-05,Luad
638,MET_proteomics,0.48569150743892037,7.518188139392323e-08,3.576910107633093e-05,Luad
888,RBP5_proteomics,-0.48536030884856035,7.69587768714323e-08,3.576910107633093e-05,Luad
582,LAMP2_proteomics,0.47896568784492777,1.202392613747088e-07,5.2799686841749295e-05,Luad
283,CUTC_proteomics,-0.47858050251729345,1.234791553829497e-07,5.2799686841749295e-05,Luad
1030,STARD5_proteomics,-0.4863166492180247,1.4442055518560532e-07,5.5995795047700704e-05,Luad
874,RARA_proteomics,0.47629733473360986,1.4446076176929887e-07,5.5995795047700704e-05,Luad
1089,TMEM106B_proteomics,0.4760758333323769,1.466681254757362e-07,5.5995795047700704e-05,Luad
878,RASGRP2_proteomics,-0.4731973372682005,1.7844330199052092e-07,6.577789304409202e-05,Luad
474,GPR89A_proteomics,0.4701602634479226,2.190355341273087e-07,7.8049661994031e-05,Luad
973,SLC34A2_proteomics,0.46771761211607576,2.579201843462575e-07,8.616146158317165e-05,Luad
974,SLC34A2_proteomics,0.46771761211607576,2.579201843462575e-07,8.616146158317165e-05,Luad
714,NSDHL_proteomics,0.46658741734905207,2.7805888627124666e-07,8.927800544791989e-05,Luad
574,KRI1_proteomics,0.4660285270092378,2.8856247964381373e-07,8.927800544791989e-05,Luad
1210,ZMIZ2_proteomics,0.46583410982803375,2.9230404028785746e-07,8.927800544791989e-05,Luad
386,ETF1_proteomics,0.4651461644897561,3.059178534445133e-07,9.084060703671798e-05,Luad
556,IVL_proteomics,0.46305374010987077,3.511326846142136e-07,9.878232705363055e-05,Luad
161,C6orf89_proteomics,0.47287429568917727,3.511439128192667e-07,9.878232705363055e-05,Luad
367,EMD_proteomics,0.4618219843307426,3.8065125283484345e-07,0.00010401087329284532,Luad
100,ATE1_proteomics,-0.46079379290535705,4.070847561060038e-07,0.00010401087329284532,Luad
101,ATE1_proteomics,-0.46079379290535705,4.070847561060038e-07,0.00010401087329284532,Luad
1106,TOR1AIP2_proteomics,0.46073496075040965,4.0864889413465887e-07,0.00010401087329284532,Luad
932,SAMD12_proteomics,0.4600405041519496,4.275493774085646e-07,0.00010629076382552455,Luad
254,CNKSR1_proteomics,0.4587419709732064,4.65143056179097e-07,0.0001130086197853306,Luad
136,BLVRA_proteomics,0.4548141222367076,5.989368433553231e-07,0.00014124147710119025,Luad
1032,STAT5B_proteomics,-0.4545850377152757,6.077743635785548e-07,0.00014124147710119025,Luad
859,PURB_proteomics,0.45405266460907073,6.287930499186844e-07,0.00014301697241767523,Luad
804,PLS3_proteomics,0.4526909438576488,6.85743210447602e-07,0.00015272072749343468,Luad
1017,SPTLC2_proteomics,0.45084393667758427,7.708581329247546e-07,0.00016817292736664546,Luad
1166,VSTM2L_proteomics,0.45648182376775864,8.741012068595358e-07,0.00018459209288039226,Luad
825,PPP3CB_proteomics,-0.4487285436308015,8.806545123386347e-07,0.00018459209288039226,Luad
630,MBOAT2_proteomics,0.4484072178619765,8.985785844879442e-07,0.00018472702054184853,Luad
399,FAF2_proteomics,0.44707511214636697,9.76646512904813e-07,0.0001915101646356825,Luad
831,PRKCB_proteomics,-0.4470013385024822,9.811529077839402e-07,0.0001915101646356825,Luad
867,RAB38_proteomics,0.4466356662850438,1.0037824979061367e-06,0.0001915101646356825,Luad
263,COTL1_proteomics,-0.4463412857867368,1.0223591755387491e-06,0.0001915101646356825,Luad
410,FBXL18_proteomics,0.44614404723737794,1.0349877917024818e-06,0.0001915101646356825,Luad
389,EVI5L_proteomics,0.446080877450079,1.0390635686501015e-06,0.0001915101646356825,Luad
513,HMOX2_proteomics,0.4453657512368711,1.086279098931358e-06,0.00019681904351824095,Luad
1040,STK17A_proteomics,0.45340417336209915,1.1910992346786624e-06,0.00021221418031191501,Luad
1220,ZYG11B_proteomics,0.4427123003127549,1.279877619843966e-06,0.0002240489699880616,Luad
737,PAFAH1B1_proteomics,-0.44246572102865644,1.2994421084433881e-06,0.0002240489699880616,Luad
1129,TTYH3_proteomics,0.4402506487395471,1.4883720969683285e-06,0.0002525507574062132,Luad
568,KIDINS220_proteomics,0.43892003794662127,1.6140862283363207e-06,0.00026960284032680106,Luad
442,GALNT10_proteomics,0.4385655282913318,1.6492400002678317e-06,0.0002712365477363557,Luad
120,ATP9A_proteomics,0.43767965201010184,1.7402837875502324e-06,0.00027895745808059796,Luad
403,FAM13A_proteomics,0.43760304242213893,1.7483769589710067e-06,0.00027895745808059796,Luad
312,DDX41_proteomics,0.43662612475140483,1.8547573989338528e-06,0.0002915787734500425,Luad
1134,TXNDC17_proteomics,0.4358109332325393,1.9481910578250693e-06,0.00030182844069782597,Luad
826,PPP3CC_proteomics,-0.43227148671382276,2.408053800397277e-06,0.0003644683076519765,Luad
296,DAAM1_proteomics,0.4321835177833664,2.420696898343342e-06,0.0003644683076519765,Luad
889,RCC1_proteomics,0.4315642438461721,2.511494595006905e-06,0.0003709330499503188,Luad
999,SOD2_proteomics,-0.4312042116041133,2.565754228571361e-06,0.0003709330499503188,Luad
954,SETD7_proteomics,0.4309722915415085,2.6012917993779706e-06,0.0003709330499503188,Luad
1121,TRIP11_proteomics,0.43083888253124497,2.6219448272030905e-06,0.0003709330499503188,Luad
67,ANXA6_proteomics,-0.4305207150302893,2.671828329857301e-06,0.0003709330499503188,Luad
66,ANXA6_proteomics,-0.4305207150302893,2.671828329857301e-06,0.0003709330499503188,Luad
925,RSPRY1_proteomics,0.42940077574713,2.854654504925924e-06,0.0003849927702096921,Luad
849,PTK2_proteomics,0.429174225331246,2.8930494601045988e-06,0.0003849927702096921,Luad
615,MAL2_proteomics,0.43836435432162957,2.909731347841529e-06,0.0003849927702096921,Luad
408,FAM84B_proteomics,0.4290334239499909,2.9171575666029056e-06,0.0003849927702096921,Luad
340,DUSP6_proteomics,0.43528502234718247,3.1149654849704338e-06,0.0004057929566444868,Luad
1099,TNFAIP8L3_proteomics,-0.4277237785237742,3.1506843219356787e-06,0.0004057929566444868,Luad
270,CRLF3_proteomics,-0.42611773342628984,3.4612181345345506e-06,0.00044048121259731367,Luad
728,ODR4_proteomics,0.4249355619572455,3.7080471493884393e-06,0.0004663414591407343,Luad
10,ACAP1_proteomics,-0.4240403377666107,3.905934985053848e-06,0.000485516802211926,Luad
701,NIPSNAP2_proteomics,0.42155672041097736,4.508490888530989e-06,0.0005539743402114515,Luad
484,GSPT1_proteomics,0.421196189805154,4.602934346361023e-06,0.0005550616028055649,Luad
402,FAM120C_proteomics,0.42109131666962585,4.630755452210764e-06,0.0005550616028055649,Luad
365,EMC3_proteomics,0.42093279648327303,4.673109845884083e-06,0.0005550616028055649,Luad
1005,SPAG1_proteomics,0.42024131945241205,4.862178091410574e-06,0.0005711723494195498,Luad
1116,TRAPPC8_proteomics,-0.41973919999709397,5.003973037641239e-06,0.0005814399105694005,Luad
1191,YIPF1_proteomics,0.4275808970973711,5.380154933731612e-06,0.0006184285617375368,Luad
833,PRKCQ_proteomics,-0.41817537058263576,5.471016782075828e-06,0.0006217994860972657,Luad
211,CDC42BPG_proteomics,0.4180002250548582,5.52581395502715e-06,0.0006217994860972657,Luad
465,GMFG_proteomics,-0.41759865020681786,5.653415017821965e-06,0.0006280448134444689,Luad
