,Comparison,Correlation,P_value
973,EGFR_proteomics,0.9999999999999998,0.0
857,GRB2_proteomics,-0.6108891162098071,1.8863841081443212e-11
145,CDH4_proteomics,0.5591797537196763,1.7900481215202169e-09
1039,SHC1_proteomics,-0.5405244914396086,7.695117931637705e-09
167,WAS_proteomics,-0.5019180366341212,1.2051684359689666e-07
519,NPC2_proteomics,-0.498790591960705,1.484248567280722e-07
1029,IKBKE_proteomics,-0.5197345389973977,1.5256152296365938e-07
115,CTSB_proteomics,-0.4968953119173142,1.682242054480339e-07
84,RGMA_proteomics,0.4950729034600597,1.8961401926600872e-07
422,SOX9_proteomics,0.49067010488451357,2.5247410385485407e-07
945,PPP2R3A_proteomics,-0.5037773152130771,4.157858052098756e-07
663,COL6A2_proteomics,-0.4827741454334567,4.177380830117714e-07
545,CSK_proteomics,-0.481564725075465,4.507321450705375e-07
637,CD14_proteomics,-0.4746481984106531,6.923247520802882e-07
254,BCR_proteomics,0.47380283053930905,7.29142438563256e-07
668,PLCG2_proteomics,-0.4724528986019063,7.918099271287727e-07
886,SYK_proteomics,-0.4708487814463348,8.729179979271179e-07
685,APC_proteomics,0.46833309134661727,1.0161593863179837e-06
724,PIK3CD_proteomics,-0.4662648948315302,1.1503230583396594e-06
690,RASAL3_proteomics,-0.4645787127341439,1.2719486848179605e-06
285,PARVG_proteomics,-0.4631967506858821,1.3806093311406378e-06
241,REL_proteomics,-0.46118506580762286,1.5545942514295218e-06
1016,CTNNB1_proteomics,0.4608358789852845,1.5868323599812544e-06
999,AIF1_proteomics,-0.458124004543946,1.8596242009010608e-06
770,FCGR2A_proteomics,-0.45614754384248934,2.0857650169367127e-06
674,PLCB2_proteomics,-0.4539868320636522,2.362634100990606e-06
312,CTSL_proteomics,-0.45307843241566226,2.489108678720406e-06
9,COL6A3_proteomics,-0.45069607788066646,2.851874186008257e-06
616,COL1A1_proteomics,-0.4504654484371207,2.8895270750601026e-06
699,VAV1_proteomics,-0.44714281575333015,3.4868578325968787e-06
532,HLA-DMB_proteomics,-0.4420053958513874,4.6444942745702475e-06
867,CD300A_proteomics,-0.43969280266112104,5.276262861160558e-06
510,NF1_proteomics,0.4390237262660885,5.473633839323636e-06
1038,ABI2_proteomics,0.43736669249384297,5.992812535471229e-06
418,NEDD4_proteomics,-0.43492452558367484,6.8431755206317605e-06
388,PIK3AP1_proteomics,-0.4317342235852393,8.12587010128734e-06
629,PGM1_proteomics,0.4282548716357236,9.781083515692746e-06
748,CDKN2C_proteomics,0.42719733165047696,1.0343903942379364e-05
634,HCK_proteomics,-0.4260010610637584,1.1017203310925385e-05
924,GAB1_proteomics,0.4258739014606532,1.1091145297688345e-05
570,PTPRC_proteomics,-0.42495788600673146,1.1637740899611714e-05
824,HGF_proteomics,-0.4438754601660816,1.1755081102207466e-05
687,AHR_proteomics,-0.42276073166758277,1.305371540938351e-05
28,SLC6A9_proteomics,0.4215702800908227,1.3886957899363873e-05
434,RASSF1_proteomics,-0.4617734428726475,1.429718265411205e-05
123,COL1A2_proteomics,-0.417762961922836,1.6899498749161666e-05
95,FLNB_proteomics,-0.4172346263709471,1.7363004175076974e-05
1023,SERPINB2_proteomics,-0.4827558458776459,1.7493518165940318e-05
769,SCIN_proteomics,-0.41545292568278036,1.9015494720089385e-05
129,NFKB2_proteomics,-0.41429221012761336,2.0170153200168448e-05
146,ITGAL_proteomics,-0.41264408258515983,2.1922972679397826e-05
291,ITGB1_proteomics,-0.4123638693676748,2.2234820131312855e-05
625,TYMP_proteomics,-0.41204598504497547,2.2593621046913795e-05
1008,PDGFA_proteomics,0.4129047933502273,2.6333327877653806e-05
866,RELB_proteomics,-0.40870963861961507,2.670113525660627e-05
1055,MYOF_proteomics,-0.4084881177494487,2.699722507321451e-05
251,CAV1_proteomics,-0.4079974999455609,2.766397086461079e-05
362,PTPRZ1_proteomics,0.40704902886856287,2.8996848228349526e-05
70,NFKB1_proteomics,-0.406439468334648,2.9884922582519644e-05
527,GPX3_proteomics,-0.4053625710111532,3.151634374504714e-05
339,PFN1_proteomics,-0.4026947909828807,3.5923626208011404e-05
118,DBI_proteomics,0.4021201509340753,3.6945469694248996e-05
302,ITGA4_proteomics,-0.3996057835812449,4.17443435506601e-05
998,PTPRA_proteomics,0.39897406917402956,4.303836228845207e-05
82,PSAT1_proteomics,0.3979466242971892,4.522328313411529e-05
994,TLR2_proteomics,-0.39728485964627347,4.6684926130075626e-05
