,Comparison,Correlation,P_value,Cancer Type
6,CD274_proteomics,1.0,0.0,GBM
19,LYN_proteomics,0.5806078988463257,2.987873413801035e-10,GBM
18,PLCG2_proteomics,0.5261197946506909,2.236260470249532e-08,GBM
10,AIF1_proteomics,0.5199816022140156,3.471177891515537e-08,GBM
3,VAV1_proteomics,0.5190559684130142,3.7063475418778127e-08,GBM
11,CD14_proteomics,0.5094899267471268,7.215320716034514e-08,GBM
15,BTK_proteomics,0.5040937149232481,1.0413169791734758e-07,GBM
17,PTPN6_proteomics,0.4926780505543094,2.2167841476041917e-07,GBM
5,JAK2_proteomics,0.4869554126755188,3.20466766066232e-07,GBM
20,SYK_proteomics,0.48444517944974386,3.7590622540450005e-07,GBM
12,CD163_proteomics,0.477635706746738,5.758398784251403e-07,GBM
16,BLNK_proteomics,0.45034487844737175,2.9093978894840098e-06,GBM
8,CD4_proteomics,0.4370638827726289,6.092565594755456e-06,GBM
1,AKT3_proteomics,-0.4217597503457199,1.3751081416540697e-05,GBM
14,HLA-DRA_proteomics,0.38593241811397727,7.973617763341825e-05,GBM
13,CSF1R_proteomics,0.36757050607910324,0.00018202378861358425,GBM
9,GRB2_proteomics,0.31776065649688046,0.0013505273071828913,GBM
7,EGFR_proteomics,-0.3150422718275817,0.001492645536636958,GBM
2,STAT3_proteomics,0.2445813078102059,0.01469443215515113,GBM
4,BRAF_proteomics,-0.24204245715672135,0.015790931454162604,GBM
0,AKT2_proteomics,0.2345632577954832,0.019442399149052797,GBM
