,Proteomics,Gbm_P_Value,Gbm_Median,Hnscc_P_Value,Hnscc_Median,Luad_P_Value,Luad_Median,Lscc_P_Value,Lscc_Median,Brca_P_Value,Brca_Median,Ov_P_Value,Ov_Median,En_P_Value,En_Median,Colon_P_Value,Colon_Median
0,ARMH3_proteomics,5.396031779488979e-11,0.4051337799246164,0.0005584141488828229,0.13594070132674574,0.017907865187940387,0.37844999999999995,0.00025151058420505985,0.42085,,,,,0.001112651369272448,-0.15030000000000002,,
1,CUTC_proteomics,1.5934796333074782e-10,0.5532547699078205,0.00018944527067846087,0.3143072125900517,0.00074435688849165,1.0199500000000001,0.0008413426289905628,0.5570999999999999,0.008294666451088381,0.4808,0.06016364842198739,0.15942355449999998,0.08286843929162634,0.2533,0.41150561054829593,0.0821
2,PIP4K2A_proteomics,1.0094188678363074e-09,0.8388820985545764,0.0015436422875741015,0.2247127830474014,0.5609964217524046,-0.04535,0.020073972786744318,0.009649999999999936,0.20395188017259233,0.07434999999999997,0.38918749781487616,-0.052954994,0.20177062828883224,-0.16900000000000004,0.1998470317926136,-0.10135
3,CUL2_proteomics,1.1220764131236789e-09,0.5863958946593785,0.4005540852263302,-0.017886456846049725,0.6125834311520468,-0.05695,0.001998420554828992,0.36965000000000003,0.1980426026833181,-0.17195,0.7861837958426761,-0.03309092849999998,0.8643805924947148,-0.023200000000000002,0.34906489156258513,0.07690000000000001
4,GDI2_proteomics,1.3022725196021271e-09,0.610188271828867,0.6309846404039199,-0.0015585077241517808,,,0.013275863952548496,0.4358,0.3547123400589828,-0.14995,0.5694165102365332,0.0673885015,0.06165991257305714,-0.1286,0.9905124567116051,0.0445
5,ANXA7_proteomics,1.6979114929351464e-09,0.4904899066101099,0.695691229734988,0.10844986164824988,0.015721001969366412,0.41179999999999994,0.003025437984347874,0.506,0.14458172791389468,0.4388,0.9500581100327022,-0.09263120900000002,0.19016383782347912,-0.169,0.005759615712292619,0.22599999999999998
6,DCTN1_proteomics,1.016639986430336e-08,0.38298750640634,0.0017757835960274069,0.12108952912249649,0.0006092174650721079,0.3194,0.04861228873089214,0.13275,,,0.2593126642885709,0.11763347850000003,0.0002745603769860192,-0.2568,0.3005404200122422,0.037000000000000005
7,PACS2_proteomics,1.1235256299792942e-08,0.3862791741217283,0.21796220773904273,-0.09969125474190221,0.1611698699596564,-0.9789000000000001,0.828182080866203,0.020050000000000012,0.1578679135422781,0.04954999999999998,0.48624529431090624,-0.12470529450000001,0.540208363679673,-0.05199999999999999,0.06696091810060652,-0.26570000000000005
8,DOCK5_proteomics,2.754159732980314e-08,0.86281890029819,0.28977730900659665,0.05468405167455259,0.3523266358921119,0.30545,0.047270132566138594,0.2964500000000001,0.38629618548062916,-0.04794999999999999,0.20159402922214856,0.10340459299999999,0.0036871546370460823,-0.40299999999999997,0.0683404954472702,0.0948
9,ACTR1A_proteomics,3.6003698802977896e-08,0.49112591747444356,0.05794593127550853,0.1232172929594526,7.074486854346928e-06,0.55825,0.021944795135040756,0.3631000000000001,0.32271279336369096,0.10199999999999998,0.320249357413212,0.077193753,0.020617962122711605,-0.1406,0.044306171030578226,0.14950000000000002
10,BORCS7_proteomics,7.020623155149392e-08,0.4286028991800581,0.9213895871231929,0.04554595857635135,0.0754409019127067,0.46804999999999997,0.07757934714057581,0.2167500000000001,0.6779459598259018,0.2026,0.057342122264727444,0.1593210765,0.4494410867353634,-0.13378,0.5308534498162887,0.09755
11,NHLRC2_proteomics,1.0002904824032515e-07,0.4323391099631409,0.1484403897630358,0.06315900552505127,0.0008396916731977002,0.55705,0.1145428910555663,0.16600000000000004,8.917165334640246e-05,0.47445000000000004,0.05457318777744282,0.11669671649999999,0.0030894096086221874,-0.22310000000000002,0.0038782476266179386,0.17700000000000002
12,PTEN_proteomics,1.219523167774163e-07,0.511725505875249,2.2852809051628075e-05,0.31881227487765074,0.01435202473975884,0.3649,5.591515324496946e-05,0.60785,4.324019968256245e-06,1.008,0.0009092804662139597,0.169972474,0.0006400622864238615,0.7466,0.012871832250085143,0.20400000000000001
13,ABRAXAS2_proteomics,2.1397848539974902e-07,0.3192491226979453,8.50238486965619e-06,0.23654008976089713,,,,,,,0.06677045711652094,0.2119582815,0.26894066182802207,-0.06760000000000001,,
14,PDZD8_proteomics,2.3154142831668191e-07,0.4442598131900591,0.0046123535130607966,0.15239146373859924,0.08208052784412352,0.13790000000000002,0.006305893751677605,0.46510000000000007,0.05544940283161585,0.50875,0.8374005317977616,-0.017844968500000002,0.0068983370924519845,-0.509,0.9583586563843698,-0.0143
15,EIF5B_proteomics,2.619280002681469e-07,-0.3920124693560139,0.02250735941878599,-0.15467376537519684,0.6754719341536635,0.04690000000000005,0.00010358114946700118,-0.40815,0.021190983382312546,-0.34135000000000004,0.9910646659173854,0.07265091550000002,0.010105022090300744,0.20589999999999997,0.16773964883869,-0.00899999999999998
16,TTI2_proteomics,2.7317401511848197e-07,-0.3681868124475024,0.11326295613788225,-0.16074019957179786,0.08448503688165786,-0.6043000000000001,0.27299134951404597,-0.31234999999999996,0.13568405889127466,-0.40025,0.6746012288930705,-0.06685096899999998,0.42098847578452325,0.17711,0.6226735035703821,-0.1598
17,HAGH_proteomics,3.2320288383112547e-07,0.6016187603764556,0.7111690298172493,0.0020396578366010942,0.7815646132039464,-0.6894,0.6905142059658846,0.11775000000000002,0.9105860477454255,0.28380000000000005,0.17544738436906396,0.21653046450000002,0.3528397337563599,0.2223,0.315172168717434,-0.10550000000000004
