Proteomics,Colon_P_Value,Colon_Median
DFFA,0.268924149997428,-0.19929999999999998
GBF1,0.29568546756515446,-0.1263
SEC14L2,0.29568546756515446,-0.6679999999999999
WAPL,0.29568546756515446,-0.19605
STK11IP,0.34553412207043877,-0.3125
TOM1,0.46629658319711165,-0.20145000000000002
FAM45A,0.46629658319711165,-0.3336
GHITM,0.46629658319711165,-0.3851
DCAF1,0.46629658319711165,0.28735000000000005
NAE1,0.6240867368117857,0.1308
EIF3E,0.6240867368117857,-0.1251
PRDX3,0.6240867368117857,-0.2172
LYRM7,0.6240867368117857,0.339
ALKBH5,0.6240867368117857,-0.2084
MAPK3,0.6240867368117857,0.19490000000000002
SEC24C,0.6240867368117857,-0.18
PSMD5,0.6240867368117857,-0.10975
ICMT,0.6240867368117857,-0.255
AGFG1,0.6240867368117857,0.0677
ANO10,0.6240867368117857,0.2352
PTK2B,0.6240867368117857,-0.1703
IDH3B,0.6240867368117857,-0.0915
ANXA11,0.6240867368117857,-0.15895
LRPAP1,0.6240867368117857,-0.13065
SNX15,0.6240867368117857,0.11480000000000001
TRNT1,0.6240867368117857,0.1694
ANXA7,0.6240867368117857,-0.22599999999999998
ELP3,0.6240867368117857,-0.29800000000000004
LNPK,0.6240867368117857,0.16775
PSMD6,0.6240867368117857,0.11299999999999999
TTC5,0.6240867368117857,-0.39065
TOR1AIP2,0.6240867368117857,0.0761
GLRX3,0.6240867368117857,-0.16235
CHD8,0.6240867368117857,-0.1577
PEX14,0.6240867368117857,-0.22849999999999998
ADSL,0.6240867368117857,-0.129
MRPS18C,0.6240867368117857,0.3541
HIST2H4B,0.6240867368117857,-0.1375
CEBPB,0.6240867368117857,-0.3536
DLG3,0.6240867368117857,-0.24600000000000005
MRTO4,0.6240867368117857,-0.2563
MMS19,0.6240867368117857,-0.1218
DMTN,0.6240867368117857,0.2895
MINPP1,0.6240867368117857,-0.19419999999999998
PCDH1,0.6240867368117857,0.13879999999999998
HNMT,0.6240867368117857,0.3905
SLK,0.6240867368117857,-0.1814
TIMM10,0.6240867368117857,-0.10179999999999999
TSPAN14,0.6240867368117857,-0.17279999999999998
TNKS1BP1,0.6240867368117857,0.1784
MGEA5,0.6240867368117857,-0.1186
DPCD,0.6240867368117857,-0.2468
HDHD5,0.6240867368117857,-0.22500000000000003
PAK2,0.6240867368117857,0.12049999999999997
POC1B-GALNT4,0.6240867368117857,0.2603
WDR11,0.6240867368117857,-0.12885
CMC1,0.6240867368117857,0.3435
NINJ1,0.6240867368117857,-0.6345000000000001
TJP3,0.6240867368117857,0.299
GTF2A2,0.6240867368117857,-0.2212
NDUFAF4,0.6240867368117857,0.218
SSU72,0.6240867368117857,-0.1256
ARMC1,0.6240867368117857,-0.1525
SYT1,0.6240867368117857,0.237
ATAD1,0.6240867368117857,-0.16475
RPP30,0.6240867368117857,-0.19140000000000001
