Proteomics,Luad_P_Value,Luad_Median
ATE1,0.0030100750799406327,-0.88365
SHOC2,0.0032091307128740386,-0.6060000000000001
EGFR,0.0032091307128740386,2.3297
LANCL2,0.004598677615234341,1.21475
CWF19L1,0.005582729158178854,-0.57265
GGCT,0.005582729158178854,2.12715
PPP3CB,0.005592249527076322,-0.66985
PRKCB,0.007049395910747969,-1.7006
STAG1,0.007049395910747969,-0.7739
RAC2,0.007049395910747969,-1.2618500000000001
WDFY4,0.007049395910747969,-1.02515
ACTR1A,0.007049395910747969,-0.55825
GSTZ1,0.007049395910747969,1.4352999999999998
GBF1,0.007049395910747969,-0.6105499999999999
GIMAP1-GIMAP5,0.007442246705167369,-1.5532500000000002
CUL4B,0.010193677649988755,0.7085
BTAF1,0.012853190846964678,-0.80465
RPL15,0.0158142624646845,-1.4097499999999998
ELMO1,0.018455484994316977,-0.95015
TM9SF3,0.018455484994316977,-1.0321
PURB,0.019950132455921546,0.8724000000000001
NUDCD3,0.019950132455921546,1.12885
GSTO1,0.019950132455921546,-0.85955
RASAL3,0.025344073056652434,-0.9308999999999998
COX15,0.025593464795512205,-1.2994999999999999
PSTPIP1,0.027098205654458807,-1.00585
RAB8B,0.027098205654458807,-0.7501
CD4,0.027098205654458807,-1.0451000000000001
ANXA6,0.027098205654458807,-0.6857
THOC7,0.027361168694022043,0.6026
HSD11B1,0.027361168694022043,-1.1101500000000002
CD5,0.027361168694022043,-1.2723
USP25,0.027361168694022043,0.5770500000000001
MMS19,0.027361168694022043,-0.62
GNG2,0.027361168694022043,-1.0976000000000001
TRAF3IP3,0.027361168694022043,-0.9573999999999999
LCK,0.027361168694022043,-1.1130499999999999
WAS,0.027361168694022043,-0.8834500000000001
ACAP1,0.027361168694022043,-0.7753
NEK9,0.027361168694022043,0.5846
CD48,0.027484801950914482,-1.2706
FMNL1,0.027484801950914482,-0.9239999999999999
NOLC1,0.027484801950914482,-0.6800999999999999
JAK3,0.027484801950914482,-0.9072
POMT2,0.027675441272859282,1.4451
RPL4,0.027675441272859282,-1.1691500000000001
PCP4L1,0.030289014547352663,4.74915
RASSF2,0.03063477394564235,-0.49685000000000007
GPSM3,0.03063477394564235,-1.03765
THOC1,0.03068388538499283,0.7396000000000001
UBR7,0.03068388538499283,1.0079
ZAP70,0.03068388538499283,-1.1895499999999999
AMPH,0.03099909855954314,0.88975
