Proteomics,En_P_Value,En_Median
NOL10_proteomics,8.999598597241735e-08,0.442
ABT1_proteomics,3.1413361546882274e-07,0.4851
UTP25_proteomics,4.3081343337433397e-07,0.7345
TOPBP1_proteomics,4.885532807689208e-07,0.61795
RIF1_proteomics,9.004981607816293e-07,0.5464
L1CAM_proteomics,9.381051594857727e-07,1.8219999999999998
ESF1_proteomics,1.0985564859044698e-06,0.3886
SMG8_proteomics,2.102084769581637e-06,0.21239999999999998
DDX52_proteomics,2.2552577121988314e-06,0.5602
HOMER2_proteomics,2.2948730141358124e-06,-0.903
SENP2_proteomics,2.4702507125965694e-06,0.4815
CASP6_proteomics,2.4818696931972214e-06,-0.569
BSPRY_proteomics,2.9177655892494053e-06,-0.728
AP1M2_proteomics,3.1973028385061274e-06,-1.0050000000000001
DDX18_proteomics,3.240019348936472e-06,0.4977
USP39_proteomics,3.6971418413890064e-06,0.32670000000000005
NOP56_proteomics,4.171056317152105e-06,0.47115
ARVCF_proteomics,4.221394575075276e-06,-0.7979999999999999
SLC4A1AP_proteomics,4.5553523285812945e-06,0.6058
FBXO38_proteomics,4.72339044372141e-06,-0.44465999999999994
STAT1_proteomics,4.987203181109492e-06,0.937
LSG1_proteomics,5.5481072192633064e-06,0.202589
ANK3_proteomics,5.811955644607827e-06,-0.6970000000000001
LIMA1_proteomics,6.5292694640504845e-06,-0.497
DCAF13_proteomics,7.525338361587448e-06,0.3538
AATF_proteomics,8.941539093432238e-06,0.34800000000000003
ALG2_proteomics,8.979379197601667e-06,-0.386
HEATR1_proteomics,9.105794807127655e-06,0.48160000000000003
UTP3_proteomics,9.605591184423835e-06,0.4357
NGDN_proteomics,9.76158580833649e-06,0.4650000000000001
TNK2_proteomics,9.870056387883234e-06,0.47
XPO5_proteomics,1.0572446695349096e-05,0.5053
HSPBAP1_proteomics,1.1701084513553284e-05,0.718
WDR46_proteomics,1.2107854745988455e-05,0.4603
CEBPZ_proteomics,1.2954895065061443e-05,0.3817
GRB7_proteomics,1.3831266836282383e-05,1.259
CMTR1_proteomics,1.4352686546691689e-05,0.3909
KCTD14_proteomics,1.4567676247017305e-05,-1.2069999999999999
ARFIP1_proteomics,1.4720260935879225e-05,-0.42699999999999994
WDR75_proteomics,1.624999818118297e-05,0.4283
KIF27_proteomics,1.6416492469412963e-05,-0.5860000000000001
DCTN4_proteomics,1.7365617896762145e-05,-0.262
CMSS1_proteomics,1.83014061738921e-05,0.5609999999999999
EPSTI1_proteomics,1.9027846835100943e-05,1.294
PLEKHA7_proteomics,2.0486621893014763e-05,-0.44500000000000006
WDR43_proteomics,2.0889313755147784e-05,0.5517
BCL2L1_proteomics,2.1129448310282883e-05,0.5044
TRMT6_proteomics,2.214297450939213e-05,0.4623
REXO4_proteomics,2.2330735925583674e-05,0.46001000000000003
KIF13B_proteomics,2.4645416326739653e-05,-0.696
SGSM3_proteomics,2.5098990795673786e-05,-0.653
TJP3_proteomics,2.6335719887590993e-05,-0.5498000000000001
MTHFD2_proteomics,2.7750521903794335e-05,0.8711
GLTP_proteomics,2.9335000971552353e-05,-0.519
ZBP1_proteomics,2.9375921768381227e-05,1.0907
TTC9_proteomics,3.075196584517225e-05,-0.807
SUPT6H_proteomics,3.0859845768392994e-05,0.1673
DDX56_proteomics,3.1143380067870544e-05,0.35910000000000003
PSMB7_proteomics,3.171657326140492e-05,-0.334
ADAR_proteomics,3.355621919894335e-05,0.40278
PDLIM1_proteomics,3.439542102875804e-05,-0.7169999999999999
ST14_proteomics,3.5071389030587465e-05,-0.49499999999999994
ACTR10_proteomics,3.531490990861448e-05,-0.2066
KLK8_proteomics,3.579458060493152e-05,1.9823
PLK1_proteomics,3.626301401833327e-05,0.7329999999999999
GMDS_proteomics,3.7298649347946826e-05,-0.8959999999999999
LRBA_proteomics,3.7837790032507544e-05,-0.603
IMP4_proteomics,4.226898204522633e-05,0.4177
BOP1_proteomics,4.4552000955008204e-05,0.2713
ATP5IF1_proteomics,4.729216956536318e-05,-0.723
ACOX3_proteomics,4.816540699168742e-05,-0.796
BIRC2_proteomics,4.9873694161900306e-05,-0.1923
EIF2AK2_proteomics,5.1475973534877385e-05,0.43999999999999995
CA8_proteomics,5.680957514799501e-05,-0.977
TNKS1BP1_proteomics,5.7020846900087785e-05,-0.2203
UTP6_proteomics,5.782645582045624e-05,0.33774000000000004
NOL6_proteomics,6.0524369190273024e-05,0.2747
ARFIP2_proteomics,6.205409515819999e-05,-0.644
DDX27_proteomics,6.373474092511565e-05,0.35860000000000003
FXR1_proteomics,6.984778192167183e-05,0.31620000000000004
RNMT_proteomics,7.059472504632485e-05,0.3418
PDCD11_proteomics,7.10588941097432e-05,0.43179999999999996
SETDB1_proteomics,7.155337481992392e-05,0.18566
EIF2A_proteomics,7.27349450565487e-05,0.2708
TJP2_proteomics,7.500917782138277e-05,-0.3156
UTP4_proteomics,7.614189919049421e-05,0.41113000000000005
KIF1C_proteomics,7.709731278167802e-05,-0.24620000000000003
GLS_proteomics,8.080411433778412e-05,0.755
ZC3H8_proteomics,8.239670466626276e-05,0.42200000000000004
NOL11_proteomics,8.345190454616404e-05,0.39080000000000004
OGFR_proteomics,8.502759394637536e-05,0.39
ENDOG_proteomics,8.526472191385322e-05,-0.732
HGD_proteomics,8.60951714925802e-05,-0.937
GBP1_proteomics,8.888789493375555e-05,0.863
GFM1_proteomics,8.98228069424196e-05,0.523
TXN_proteomics,9.225422863954187e-05,-0.543
MPPED2_proteomics,9.518637842017168e-05,-0.996
ZNF638_proteomics,9.828548559221636e-05,0.21559999999999999
FAM118B_proteomics,9.89165586567079e-05,-0.33099999999999996
GPATCH4_proteomics,9.939796943159512e-05,0.46430000000000005
FNBP1L_proteomics,0.00010422935262346047,-0.367
ROBO2_proteomics,0.00010531348258037234,-1.04
COPS3_proteomics,0.00011052654833528159,-0.21183
MDN1_proteomics,0.00011896318084076443,0.3839
NKRF_proteomics,0.00011908710997945281,0.18409999999999999
EAF1_proteomics,0.00011979264128088401,0.50585
TBL1XR1_proteomics,0.0001238526735519874,0.2779
ISG20L2_proteomics,0.00012434007091489892,0.30447
PRKCI_proteomics,0.00012609458255575208,0.3181
CDKAL1_proteomics,0.00012659914007219283,0.4068
ECT2_proteomics,0.00013254049930888775,0.5679999999999998
MFN1_proteomics,0.0001343536454715555,0.3739
POLR2B_proteomics,0.00013536925739710356,0.1131
PCM1_proteomics,0.0001373027569114013,-0.42000000000000004
KLC2_proteomics,0.00013738745171849184,-0.28900000000000003
MAST4_proteomics,0.00013752529074961538,-0.47350000000000003
MX2_proteomics,0.0001398711177695226,0.8119999999999999
MYO5C_proteomics,0.0001509902337135359,-0.5426
ADA_proteomics,0.0001517227743943889,0.6609
CIR1_proteomics,0.00015578925440515407,0.13940000000000002
DAXX_proteomics,0.0001560381043293462,0.2071
GSR_proteomics,0.00015715342199033693,-0.75
IFIT2_proteomics,0.0001603588996581012,0.664
OPA1_proteomics,0.00016182147761818633,0.25830000000000003
KLRG2_proteomics,0.0001648866763988294,1.7508
CDK12_proteomics,0.00016674614931382056,0.20079999999999998
NADSYN1_proteomics,0.00016843257039962176,-0.243
CIP2A_proteomics,0.00016989870031817048,0.43799999999999994
DTX3L_proteomics,0.00016991870746127654,0.35000000000000003
DHX35_proteomics,0.00017409665044677602,0.1681
HSD17B4_proteomics,0.0001744288796016802,-0.4315
TTC27_proteomics,0.00017550742147344857,0.2247
DEF6_proteomics,0.00017558910067538014,0.34900000000000003
FBXW5_proteomics,0.00017594659223512223,-0.2809
UBE2S_proteomics,0.00017619924552352085,0.4606
ZNHIT6_proteomics,0.00017800631570303468,0.2135
GTPBP3_proteomics,0.0001806382538079155,0.31289999999999996
KIAA1109_proteomics,0.00018187672848233685,-0.41800000000000004
CHD8_proteomics,0.0001870694492621811,0.18919999999999998
XPNPEP1_proteomics,0.00019097511087787044,-0.475
RRP1_proteomics,0.00019418135418417708,0.514
USP14_proteomics,0.00019630648269022025,0.31250000000000006
TAF1B_proteomics,0.00019756788427438405,0.5881000000000001
KBTBD6_proteomics,0.00020135352836957824,-0.44347000000000003
MYO6_proteomics,0.00020182959343190254,-0.2683
IFIH1_proteomics,0.00020218588621999506,0.2984
ATF6_proteomics,0.00020318669309903186,0.48449999999999993
BYSL_proteomics,0.00020599267344399504,0.3545
DARS2_proteomics,0.0002069925950655591,0.47930000000000006
PTPN2_proteomics,0.00020777058467033894,0.456
RNF213_proteomics,0.00021528264597674967,0.689
HERC5_proteomics,0.00021582548940451385,0.847
HMCES_proteomics,0.00022246650445389044,0.1496
SGTA_proteomics,0.00022433359268935444,-0.434
TTC12_proteomics,0.00022445963313030528,-0.6124999999999999
PHPT1_proteomics,0.00023123173937299613,-0.3149
CEP78_proteomics,0.00023176596173977144,-0.5095
NDC80_proteomics,0.00023238768201870296,0.608
PUS1_proteomics,0.00023415319210753563,0.37860000000000005
SEC16A_proteomics,0.00023761417318945578,-0.31930000000000003
TAX1BP3_proteomics,0.0002441606516471098,-0.631
KANSL3_proteomics,0.00024642034419379203,0.13140000000000002
NANS_proteomics,0.0002482123237229056,-0.57
NOXA1_proteomics,0.00025367776761864346,-0.649
TDRKH_proteomics,0.00025562734794234185,0.5230000000000001
ADH5_proteomics,0.0002597121923773818,-0.6641000000000001
PIK3R4_proteomics,0.0002615996934171434,0.1494
WDR12_proteomics,0.00026488268372520913,0.2675
