Proteomics,Colon_P_Value,Colon_Median
DFFA_proteomics,0.1392809040321534,-0.19929999999999998
DFFA_proteomics_1,0.1392809040321534,
WAPL_proteomics,0.20418812879412818,-0.19605
GBF1_proteomics_1,0.20418812879412818,
SEC14L2_proteomics,0.20418812879412818,-0.6679999999999999
GBF1_proteomics,0.20418812879412818,-0.1263
STK11IP_proteomics,0.25565522522873596,-0.3125
GHITM_proteomics,0.3622557307818159,-0.3851
TOM1_proteomics,0.3622557307818159,-0.20145000000000002
TOM1_proteomics_1,0.3622557307818159,
DCAF1_proteomics,0.3622557307818159,0.28735000000000005
FAM45A_proteomics,0.3622557307818159,-0.3336
NOC3L_proteomics,0.5462258708955825,-0.2093
TNKS1BP1_proteomics,0.5462258708955825,0.1784
RPL31_proteomics,0.5462258708955825,-0.18570000000000003
ATAD1_proteomics,0.5462258708955825,-0.16475
DPCD_proteomics,0.5462258708955825,-0.2468
RPP30_proteomics,0.569911351670382,-0.19140000000000001
FAM96B_proteomics,0.569911351670382,-0.1729
TSPAN14_proteomics,0.569911351670382,-0.17279999999999998
NOLC1_proteomics_1,0.569911351670382,
DMTN_proteomics,0.569911351670382,0.2895
DMTN_proteomics_1,0.569911351670382,
TRIP12_proteomics_1,0.569911351670382,
TRIP12_proteomics,0.569911351670382,0.0762
XPNPEP1_proteomics,0.569911351670382,-0.1891
NOLC1_proteomics,0.569911351670382,-0.2685
RPA1_proteomics,0.569911351670382,-0.29100000000000004
B3GNT3_proteomics,0.569911351670382,0.2576
PSMD6_proteomics,0.569911351670382,0.11299999999999999
MRTO4_proteomics,0.569911351670382,-0.2563
GLRX3_proteomics,0.5762501539593159,-0.16235
CMC1_proteomics,0.581873776209624,0.3435
TOR1AIP2_proteomics,0.581873776209624,0.0761
SUPT5H_proteomics,0.581873776209624,-0.11454999999999999
PEX14_proteomics,0.581873776209624,-0.22849999999999998
TOR1AIP2_proteomics_1,0.581873776209624,
HIST2H4B_proteomics,0.581873776209624,-0.1375
ALKBH5_proteomics,0.581873776209624,-0.2084
SSU72_proteomics,0.581873776209624,-0.1256
SNX15_proteomics,0.581873776209624,0.11480000000000001
SEC24C_proteomics,0.581873776209624,-0.18
NDUFAF3_proteomics,0.581873776209624,0.2437
NDUFAF4_proteomics,0.581873776209624,0.218
BCCIP_proteomics,0.581873776209624,-0.26235
BCCIP_proteomics_1,0.581873776209624,
NHLRC2_proteomics,0.581873776209624,-0.17700000000000002
RCC2_proteomics,0.581873776209624,-0.2541
LNPK_proteomics,0.581873776209624,0.16775
ELP3_proteomics,0.581873776209624,-0.29800000000000004
MRPS18C_proteomics,0.581873776209624,0.3541
TRNT1_proteomics,0.581873776209624,0.1694
MAPK3_proteomics,0.581873776209624,0.19490000000000002
ADSL_proteomics,0.581873776209624,-0.129
CEBPB_proteomics,0.581873776209624,-0.3536
ELP3_proteomics_1,0.581873776209624,
ANXA11_proteomics,0.581873776209624,-0.15895
ANO10_proteomics,0.581873776209624,0.2352
BRI3BP_proteomics,0.581873776209624,-0.25170000000000003
PRDX3_proteomics,0.581873776209624,-0.2172
PAK2_proteomics,0.581873776209624,0.12049999999999997
ARMC1_proteomics,0.581873776209624,-0.1525
TJP3_proteomics,0.581873776209624,0.299
ZDHHC3_proteomics,0.5957504826761635,0.15249999999999997
MINPP1_proteomics,0.5957504826761635,-0.19419999999999998
FAM213B_proteomics,0.5957504826761635,-0.16649999999999998
MMS19_proteomics,0.5957504826761635,-0.1218
AGFG1_proteomics,0.5957504826761635,0.0677
TTC5_proteomics,0.5957504826761635,-0.39065
UBFD1_proteomics,0.5957504826761635,0.135
ICMT_proteomics,0.5957504826761635,-0.255
RPA3_proteomics,0.5957504826761635,-0.1396
YEATS4_proteomics,0.5957504826761635,0.1976
PCDH1_proteomics,0.5957504826761635,0.13879999999999998
IDH3B_proteomics,0.5957504826761635,-0.0915
EIF3E_proteomics,0.5957504826761635,-0.1251
PSMD5_proteomics,0.5957504826761635,-0.10975
PTK2B_proteomics,0.5957504826761635,-0.1703
MGEA5_proteomics,0.5957504826761635,-0.1186
INTS10_proteomics,0.5957504826761635,-0.09179999999999999
HNMT_proteomics,0.5957504826761635,0.3905
RNASEH2A_proteomics,0.5957504826761635,0.1591
CTBP2_proteomics,0.5957504826761635,-0.183
HDHD5_proteomics,0.5957504826761635,-0.22500000000000003
LYRM7_proteomics,0.5957504826761635,0.339
WDR11_proteomics,0.5957504826761635,-0.12885
UTRN_proteomics,0.5957504826761635,0.15015
NAE1_proteomics,0.5957504826761635,0.1308
CHD8_proteomics,0.5957504826761635,-0.1577
LRPAP1_proteomics,0.5957504826761635,-0.13065
SLK_proteomics,0.5957504826761635,-0.1814
SLK_proteomics_1,0.5957504826761635,
LGALS3BP_proteomics,0.5957504826761635,-0.2343
RRP12_proteomics,0.5957504826761635,-0.18649999999999997
TIMM10_proteomics,0.5957504826761635,-0.10179999999999999
UBE2N_proteomics,0.5957504826761635,0.1017
TRIM56_proteomics,0.5957504826761635,0.1065
NINJ1_proteomics,0.5957504826761635,-0.6345000000000001
POC1B-GALNT4_proteomics,0.5957504826761635,0.2603
SSR4_proteomics,0.5957504826761635,-0.2406
ANXA7_proteomics,0.5957504826761635,-0.22599999999999998
DLG3_proteomics,0.5957504826761635,-0.24600000000000005
TOP3B_proteomics,0.6111094207249526,-0.0911
ALDH1B1_proteomics,0.6111094207249526,0.43500000000000005
FHL2_proteomics,0.6157142427099704,0.19099999999999998
DCAF7_proteomics,0.6206615895367744,-0.07629999999999999
ZNF703_proteomics,0.6206615895367744,-0.39945
GRAMD4_proteomics,0.6206615895367744,-0.19270000000000004
RBM15B_proteomics,0.6265119570171612,0.26330000000000003
ATG5_proteomics,0.6412641663691461,0.0893
MPG_proteomics,0.6412641663691461,0.08559999999999997
MAPK8_proteomics,0.6465182134485282,-0.0703
CTBP1_proteomics,0.6465182134485282,-0.2059
RPAP3_proteomics,0.6465182134485282,0.13599999999999998
RALB_proteomics,0.6465182134485282,-0.1646
PTPRK_proteomics,0.6465182134485282,0.1684
XPNPEP3_proteomics,0.6465182134485282,-0.2925
MRGBP_proteomics,0.6465182134485282,-0.276
CES2_proteomics,0.6537756199846515,0.53
MORF4L1_proteomics,0.6537756199846515,-0.198
VPS39_proteomics,0.6537756199846515,-0.13285000000000002
SAR1A_proteomics,0.6537756199846515,-0.1891
NXF1_proteomics,0.6537756199846515,-0.0557
ATP6V1F_proteomics,0.6537756199846515,-0.15895
ATP6V1A_proteomics,0.6537756199846515,-0.0636
PPIL2_proteomics,0.6537756199846515,-0.17049999999999998
ATP2C1_proteomics,0.6537756199846515,0.1418
PRPSAP2_proteomics,0.6537756199846515,-0.0956
WDR89_proteomics,0.6537756199846515,-0.49850000000000005
MCMBP_proteomics_1,0.6537756199846515,
