,Comparison,Correlation_Gbm,P_value_Gbm,Correlation_kidney,P_value_kidney,Correlation_Ovar,P_value_Ovar,Correlation_Brca,P_value_Brca,Correlation_Luad,P_value_Luad,Correlation_hnscc,P_value_hnscc,Correlation_Lscc,P_value_Lscc,Correlation_Colon,P_value_Colon
0,EGFR_proteomics,0.9999999999999998,0.0,1.0,0.0,0.9999999999999998,0.0,0.9999999999999999,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,PHLDA1_proteomics,0.8168478152481624,3.507070947053107e-21,0.25443557318509064,0.06026075375004093,,,0.3647974044559096,0.0021644125317415676,0.26010991704325576,0.07452984701766474,0.6642710702729873,8.88864017123259e-12,0.7134204152693155,2.6448256049797982e-14,0.3861042848491417,0.12284728673271454
2,GRB2_proteomics,-0.6108891162098071,6.729989703156223e-08,-0.21742680006601758,0.12034201037006491,-0.19008967575166436,0.34611091083868806,-0.1773788287397987,0.14273314872688916,-0.3024385657756904,0.020630959253629032,-0.532341215310538,3.320091791570536e-06,-0.19804218187450756,0.24371758969139792,0.15095975815868323,0.3474088477197906
3,SOCS2_proteomics,0.5627196030682289,3.420388042238714e-06,,,,,,,,,0.020297085759036954,0.955730041901618,0.4726244444703358,0.014179206059692808,,
4,CDH4_proteomics,0.5591797537196763,3.420388042238714e-06,0.14840660949161086,0.5134895966898024,,,,,,,,,,,,
5,DAB2_proteomics,-0.5564015379913563,3.420388042238714e-06,-0.07617340724928492,0.6737744843992759,0.07698073673020354,0.7505097844910312,0.3260553475239116,0.0035427597450799616,-0.08640270942843724,0.5975457322196662,-0.20843664111335214,0.14909797026077448,-0.07249592709482994,0.7501117315322463,-0.14751916418020578,0.3602656064624444
6,PLA2G15_proteomics,-0.5566242323733048,3.420388042238714e-06,-0.2980294498940282,0.02216022441747543,-0.03539538264495537,0.8993785871505832,0.27418494735264415,0.01606104041207197,-0.18293002398869052,0.19998700272705855,-0.08931333949727661,0.610777060069223,-0.14743822959672068,0.42769685291225396,,
7,GLA_proteomics,-0.5504906315237544,4.776520693499352e-06,-0.2983475619308701,0.021947886338728895,0.022300409189650275,0.9389394345915569,0.06950425537891886,0.6152769901515095,0.1637215958264345,0.26187275107798574,-0.019486448130398508,0.9315413455559474,-0.03387990450858264,0.8999056930022701,0.0571180884023277,0.7606733019186239
8,CTSC_proteomics,-0.5462852751917662,5.888722194439894e-06,-0.30231627569503383,0.02002027315247325,-0.07245331181889404,0.7645816711300405,0.26693956593905577,0.019640854424324457,0.30276041161402084,0.02047158191399159,-0.05229691338380784,0.7919216977945925,-0.03749052369032016,0.8874609447248452,0.193620773297353,0.20991989688150464
9,DCBLD2_proteomics,-0.5653725668293248,6.098708001404987e-06,-0.03032159682659724,0.9354742259068255,0.2278166343547349,0.23842947003588896,,,0.2659465146221208,0.05624412583352938,0.17573140911765842,0.36172677980041296,0.2098369373699519,0.20468727571269565,,
