,Comparison,Correlation_Luad,Correlation_Gbm,Correlation_Brca,Correlation_hnscc,Correlation_colon,Correlation_Lscc
1,PHLDA1_proteomics,0.26010991704325576,0.8168478152481624,0.3647974044559096,0.6642710702729873,0.3861042848491417,0.7134204152693155
2,GRB2_proteomics,-0.3024385657756904,-0.6108891162098071,-0.1773788287397987,-0.532341215310538,0.15095975815868326,-0.1980421818745076
3,SOCS2_proteomics,,0.5627196030682289,,0.020297085759036958,,0.4726244444703358
4,CDH4_proteomics,,0.5591797537196763,,,,
5,PLA2G15_proteomics,-0.1829300239886905,-0.5566242323733048,0.2741849473526441,-0.08931333949727661,,-0.14743822959672068
6,DAB2_proteomics,-0.08640270942843724,-0.5564015379913563,0.3260553475239116,-0.2084366411133521,-0.14751916418020578,-0.07249592709482994
7,GLA_proteomics,0.1637215958264345,-0.5504906315237544,0.06950425537891887,-0.019486448130398508,0.0571180884023277,-0.03387990450858264
8,CTSC_proteomics,0.30276041161402084,-0.5462852751917662,0.26693956593905577,-0.05229691338380784,0.19362077329735303,-0.03749052369032016
9,CKB_proteomics,0.006996204387108445,0.5442462597158703,0.015466043163906224,-0.10040750697227914,0.13326539499184756,-0.07629121821705198
10,DCBLD2_proteomics,0.2659465146221208,-0.5653725668293248,,0.17573140911765842,,0.2098369373699519
11,ARNT2_proteomics,,0.5420787847456093,-0.24395824229879556,,,
12,SHC1_proteomics,-0.13584358113008238,-0.5405244914396086,0.09090809168094884,-0.0859102282091423,0.2032501666619065,0.13412103171686235
13,SHC1_proteomics,-0.13584358113008238,-0.5405244914396086,0.09090809168094884,-0.0859102282091423,0.2032501666619065,0.13412103171686235
14,SCPEP1_proteomics,-0.02828205967968705,-0.531494133013942,0.3991869646977245,0.18499708197715745,0.1084370001984888,0.12272891181367282
15,ROBO2_proteomics,-0.034631675079016426,0.5271277906035979,-0.2065767635805212,-0.01664059746272479,,0.22801766635256598
16,PHLDA3_proteomics,0.2317888048637517,0.5258827854613878,0.1851237636957071,0.7637844857470779,0.09688304949197514,0.6820335902295296
17,BLOC1S2_proteomics,-0.1615677401629998,-0.5229648266822912,-0.047032749099712765,-0.2554786425608909,0.17555710121857707,-0.08617518415314852
18,ATP7A_proteomics,0.21414384612394086,-0.5224817306372646,0.16794023550873402,0.14021775055461486,,-0.034116394443151815
19,MEOX2_proteomics,,0.5458632466939957,,,,-0.16590312705722646
20,CD180_proteomics,-0.034102576157929096,-0.5182666129723484,0.1814456401532185,-0.07414902744401906,0.2228108752818761,-0.09012945661214043
21,FAM129B_proteomics,0.18891311819458487,-0.5149840251387472,0.34409341711677,0.2116977705686348,0.14632853163887474,0.3600921107353627
22,SEC23IP_proteomics,-0.26661208835537786,-0.5144035788843105,-0.2573069982684186,-0.22270043873123385,-0.09825311713381513,-0.09866491641773928
23,TOR4A_proteomics,-0.03301410429669255,-0.5138471291537452,0.08911512570295838,-0.05480362136822388,-0.0076834697832132565,0.09778943013981556
24,XRN1_proteomics,,-0.5116564308207833,0.1535613118382554,-0.08279622124860472,0.17370376615864044,0.04253376689247538
25,PCDH17_proteomics,0.0618993251339453,0.5060447136622968,,,,0.04249449056894452
26,WAS_proteomics,-0.3379086881786271,-0.5019180366341212,0.1534959798405785,-0.5034268684782973,0.2824011479649168,-0.18278129501446272
27,LRP4_proteomics,-0.13609597209171587,0.5008960940270109,,,,0.025109685487891536
28,ARHGAP4_proteomics,-0.1972943945119724,-0.4989264348229207,0.11089845492716197,-0.4664129768292121,0.1646283257346079,-0.17736349679523442
29,NPC2_proteomics,0.29251983063392983,-0.498790591960705,0.2795993233274339,-0.07305004017430353,0.040840252387118685,-0.018743971385647342
30,IKBKE_proteomics,0.04013914967370348,-0.5197345389973977,0.11997229802757073,-0.10581279629939816,,0.03383597055928344
31,GPRIN3_proteomics,-0.2408571056392249,-0.4978363548048215,-0.10538296544384793,-0.5445271846593618,0.13870417350171274,-0.22827429809629424
32,PPP1R18_proteomics,-0.08395474849393042,-0.4972021285670396,0.3591418178715906,-0.17185523930665847,0.19211067069373786,-0.058248893900055075
33,NEO1_proteomics,-0.1084138897346247,0.4969841203020866,0.16923643258756632,0.016299115093308062,-0.15803976365139566,0.10411305809019317
34,CTSB_proteomics,-0.2493331222817278,-0.4968953119173142,0.34104789265687063,0.2123973624310506,0.09610549076684484,0.13838733098242095
35,EPHB3_proteomics,0.3547889384770181,0.4960189368683785,0.36945002605750177,0.357080046048712,0.19587924541371154,0.18928262425754105
36,KYNU_proteomics,-0.3413634076774579,-0.4955165794395106,0.3735752990183355,-0.050657580471176834,0.2060172006147828,-0.007120287918069541
37,LRRC75A_proteomics,,0.4954021585844763,,,,
38,RGMA_proteomics,,0.4950729034600597,,,,
39,CLIP2_proteomics,-0.06570165870096112,0.4932799211035536,0.3475684993808784,0.013982155118016705,-0.020808099810129016,0.10417203322127387
40,STAB1_proteomics,-0.30056770558688306,-0.4929776568817793,0.09899339808623014,-0.3690812190840141,0.08816291265672482,-0.18264365227979606
41,ARHGAP45_proteomics,-0.2275087684629171,-0.4925637699560174,0.08695292084627082,-0.4436198247737188,0.23118664356851246,-0.20937190371014175
42,HSD17B11_proteomics,-0.2233268324783104,-0.4918426646717746,0.4816670749023298,-0.4021456901239445,-0.0021218372551244998,-0.06837786196435444
43,SVIL_proteomics,0.13645079435160007,-0.4913031523433264,0.2852147821475852,0.148025806637859,0.1831000212145372,0.15690773187652884
44,SVIL_proteomics,0.13645079435160007,-0.4913031523433264,0.2852147821475852,0.148025806637859,0.1831000212145372,0.15690773187652884
45,SVIL_proteomics,0.13645079435160007,-0.4913031523433264,0.2852147821475852,0.148025806637859,0.1831000212145372,0.15690773187652884
46,SVIL_proteomics,0.13645079435160007,-0.4913031523433264,0.2852147821475852,0.148025806637859,0.1831000212145372,0.15690773187652884
47,SOX9_proteomics,,0.4906701048845136,0.2529196282079981,0.26295221192847057,-0.006971728163799769,0.056374524886668526
48,DOCK10_proteomics,,-0.4897150736461749,,-0.4211909004674405,0.004070059827295726,-0.12303681155976245
49,MITF_proteomics,-0.02233039737390885,-0.5096486438817509,0.10370639877442699,0.2700861430015637,,0.006301966758264228
50,SH3BP1_proteomics,-0.20476145943755786,-0.4884798437640261,0.16440568575375816,0.034109147119592315,0.10497797114323758,0.3358657880295925
51,GPHN_proteomics,-0.003773883214551507,0.4865991159955391,-0.1827515476888099,0.06392306294129148,0.16082183764524433,0.16390468983274414
52,DPP6_proteomics,,0.4863244796622994,,,,
53,ENG_proteomics,-0.21920344859059115,-0.4856390335726473,0.2227661019507676,-0.21820312997214072,-0.02548898048650354,-0.09174511042720343
54,ST14_proteomics,0.025162479396993963,-0.4846592320611137,0.18778130387896674,0.047995115955614176,-0.09173197420947142,0.2838003337898931
55,ARHGAP27_proteomics,-0.11483630550579894,-0.4844488272181881,0.20086195921813466,-0.19450116634685424,0.01387107541361262,0.09111045934236343
56,OSTF1_proteomics,-0.2755570745759093,-0.4842980609146354,0.11505317487982668,-0.10454518428876132,0.16261714707645614,-0.05748792602674555
57,APBB1IP_proteomics,-0.2771508905356152,-0.4830555483585245,0.1140099360351419,-0.3825552618620904,0.4043758593035532,-0.1908849697186969
58,PPP2R3A_proteomics,0.3484898309218405,-0.5037773152130771,0.4461367763598457,0.26444057758579803,,0.19768006837523816
59,COL6A2_proteomics,0.060439319889359966,-0.4827741454334567,0.1580210190940149,0.06452860675642334,0.30350939218143397,-0.018726910341184486
60,COL6A2_proteomics,0.060439319889359966,-0.4827741454334567,0.1580210190940149,0.06452860675642334,0.30350939218143397,-0.018726910341184486
61,COL6A2_proteomics,0.060439319889359966,-0.4827741454334567,0.1580210190940149,0.06452860675642334,0.30350939218143397,-0.018726910341184486
62,COL6A2_proteomics,0.060439319889359966,-0.4827741454334567,0.1580210190940149,0.06452860675642334,0.30350939218143397,-0.018726910341184486
