,Comparison,Correlation_Gbm,P_value_Gbm,Correlation_kidney,P_value_kidney,Correlation_Endo,P_value_Endo,Correlation_Ovar,P_value_Ovar,Correlation_Brca,P_value_Brca,Correlation_Luad,P_value_Luad,Correlation_hnscc,P_value_hnscc,Correlation_colon,P_value_colon,Correlation_Lscc,P_value_Lscc
0,EGFR_proteomics,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,0.9999999999999998,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,GRB2_proteomics,-0.6108891162098071,1.886384108144321e-11,-0.2174268000660176,0.02250643371172086,-0.43733586407512703,9.35812085132489e-06,-0.1900896757516644,0.08520228333391508,-0.1773788287397987,0.057898783201392565,-0.3024385657756904,0.0013212650738275414,-0.532341215310538,2.5598240490135205e-09,0.15095975815868326,0.13994930017575194,-0.17481029596069686,0.06776395411668991
2,CDH4_proteomics,0.5591797537196763,1.7900481215202167e-09,0.14840660949161086,0.2577813134775007,,,,,,,,,-0.15582569848392958,0.10565997648848688,,,,
3,SHC1_proteomics,-0.5405244914396086,7.695117931637705e-09,-0.10206481189903234,0.2886853559428395,-0.20838251861782187,0.042715831741170655,0.17509752571894166,0.11335765212874994,0.09090809168094884,0.33392745153484177,-0.13584358113008238,0.2621637252120521,-0.0859102282091423,0.3744158658246564,0.2032501666619065,0.04585503691460885,0.12392169252965465,0.19710882944928293
4,WAS_proteomics,-0.5019180366341212,1.2051684359689666e-07,-0.27981387372305405,0.003070749503077864,-0.238305589668829,0.020041074914396214,-0.09041309487565263,0.4162884463776179,0.1534959798405785,0.1014633894495014,-0.3379086881786271,0.00030580608749053087,-0.5034268684782973,2.4113325017541083e-08,0.2824011479649168,0.0050699254527539215,-0.17795440103795562,0.06289182083469583
5,NPC2_proteomics,-0.498790591960705,1.4842485672807221e-07,-0.319133468723472,0.0006783668360179059,0.026213970058007675,0.8009149985526839,-0.18319294190707092,0.09737459732543156,0.2795993233274339,0.0024764008073463913,0.29251983063392983,0.001928339186059513,-0.07305004017430353,0.45032008376904803,0.040840252387118685,0.6912338070282396,-0.013309590298661876,0.8902375468181319
6,IKBKE_proteomics,-0.5197345389973977,1.5256152296365938e-07,0.060433261810288436,0.7383175332663969,-0.19433706668741246,0.09034204783619056,0.1282506543801246,0.2478946209799429,0.11997229802757073,0.20155881002524,0.04013914967370348,0.6887508485656911,-0.10581279629939816,0.2997508788790289,,,0.04779095573207225,0.6200402111909423
7,CTSB_proteomics,-0.4968953119173142,1.682242054480339e-07,-0.2263098922272121,0.01743634524964176,0.07179313080212245,0.4893253231112325,-0.03321076931872504,0.7656587852918936,0.34104789265687063,0.0001915971081969414,-0.2493331222817278,0.008619764294410723,0.2123973624310506,0.026603133243288942,0.09610549076684484,0.3490524928948286,0.1427038238708131,0.13695786019663886
8,RGMA_proteomics,0.4950729034600597,1.8961401926600872e-07,,,,,,,,,,,-0.19086211758702207,0.04681156624951149,,,,
9,SOX9_proteomics,0.4906701048845136,2.524741038548541e-07,0.006918633426755194,0.9611753301702392,0.2116198348637992,0.04650252470721699,0.0960541038089236,0.38768518966991583,0.2529196282079981,0.006388999919022494,,,0.26295221192847057,0.015042425292093875,-0.006971728163799769,0.9495075354487044,0.07306230515512685,0.5333212584611479
10,PPP2R3A_proteomics,-0.5037773152130771,4.157858052098756e-07,0.28573499558630844,0.002478698706862031,0.06181955305390356,0.5517528910504,0.10383035591614784,0.3502410921089253,0.4461367763598457,5.820667303693802e-07,0.3484898309218405,0.0001907963076161991,0.26444057758579803,0.005458421785147306,,,0.2355225002545145,0.013252478166351616
11,COL6A2_proteomics,-0.4827741454334567,4.177380830117714e-07,0.2288086309388176,0.01620173072648658,0.2430062054670624,0.017650870280177974,0.17001056887311072,0.12439376656076427,0.1580210190940149,0.10077748299122788,0.060439319889359966,0.6324649979023304,0.06452860675642334,0.505010594335005,0.30350939218143397,0.0025102964662212317,-0.0066583667210075295,0.9462537370048816
12,CSK_proteomics,-0.481564725075465,4.507321450705375e-07,-0.2212702567185352,0.020175647150035888,-0.14120021109418585,0.17229099492136868,-0.27622828030755475,0.011478544470003531,0.1698995303390998,0.06947976878433941,-0.36156774738483016,0.00010403425411968935,-0.3802600095388597,4.531369102418434e-05,0.14851140025316256,0.1465655528255407,-0.14557102557143442,0.12916167067997267
13,CD14_proteomics,-0.4746481984106531,6.923247520802883e-07,-0.08966725865794029,0.35155707111575185,0.15602419207280532,0.13107738893246715,0.14062568530362451,0.20478253738547825,0.252201482659813,0.006545688142653911,-0.09392059798782912,0.3290871462155198,-0.23904532272405465,0.012302772060487854,0.14241161369172614,0.16407004550384716,0.037738201651923535,0.6954870722914595
14,BCR_proteomics,0.473802830539309,7.29142438563256e-07,-0.18909393835873256,0.047876166870518,0.25504442820566364,0.012618648336580426,0.23210718931923474,0.03473318296862856,-0.013114961852042648,0.8893617639891788,0.1970146624824551,0.03911566002149889,0.004779761233455564,0.9606585961163852,0.04685481971967576,0.6485808371931472,0.34242152130338577,0.000250584015822195
15,PLCG2_proteomics,-0.4724528986019063,7.918099271287726e-07,-0.3170090773489909,0.0007400138367125306,-0.08259945596337344,0.4261580527569169,-0.015868859124301277,0.8867730702936558,0.2686127470048235,0.0037004739432112102,-0.40815336175374417,9.591168268365167e-06,-0.3789496501144576,4.837060683348736e-05,0.20798240431824436,0.040929221616259566,-0.23758308543593415,0.012446653687200307
16,SYK_proteomics,-0.4708487814463348,8.729179979271179e-07,-0.5524810495881947,0.002805507160029867,0.07688903634757603,0.4589372549590395,-0.17828797999855558,0.1068322822161966,0.19342296201321726,0.038342671789616666,-0.24957772786869695,0.008552579905803116,-0.2984282292601957,0.0016220632782481413,0.05921675263811085,0.5645052031904577,0.011783838542735509,0.9073665295861504
17,APC_proteomics,0.4683330913466173,1.0161593863179835e-06,0.14387366927294787,0.14119014613732955,-0.0051416288405553715,0.9605596537893788,-0.03246273641256203,0.7927041038317424,-0.20338726880126012,0.02925010895674305,-0.007374624972461483,0.9390505958929416,0.0862871712710433,0.3723157469821569,,,0.20924979435153102,0.028242022051885887
18,PIK3CD_proteomics,-0.4662648948315302,1.1503230583396594e-06,-0.18865328096460776,0.04840782490077255,-0.05023355508743119,0.6287834445471822,-0.21114127463974972,0.05535523490384822,0.09900859126833816,0.2924605682608843,-0.33176003913986385,0.00039920615749863104,-0.17986923194070234,0.061271031300713714,0.47517734566216496,0.02948781229792765,-0.13659749484228115,0.15474775214201955
19,RASAL3_proteomics,-0.4645787127341439,1.2719486848179605e-06,-0.2030797832340734,0.03335259442594445,0.0023744080129562,0.9817806736445638,-0.17144022271732878,0.12121223282447922,0.02579154617410949,0.7843862293182222,-0.28262273787687703,0.002775645375529907,-0.4249307088419797,4.115124083578488e-06,0.32643367729703243,0.0020305350357115552,-0.20810775861310307,0.02913432585007315
20,PARVG_proteomics,-0.4631967506858821,1.3806093311406378e-06,-0.2503044223520849,0.008355697988390963,-0.04479780633078085,0.6664165667954677,0.015961639820537027,0.8861154820061541,0.19621380636528504,0.035584180055353375,-0.05700363290752662,0.5541782300120486,-0.32543517894943025,0.0005544592179389058,0.13245627116372888,0.3088647587951229,-0.10015956676954024,0.29782779947346466
